,rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,avg_price,revenue
33,37,Call of Duty: Modern Warfare 2,x360,2009,shooter,Activision,8.52,3.63,0.08,1.29,13.51,11.94,161309399.99999997
34,38,Call of Duty: Modern Warfare 3,ps3,2011,shooter,Activision,5.54,5.82,0.49,1.62,13.46,14.67,197458200.0
35,39,Grand Theft Auto III,ps2,2001,action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,13.45,176195000.0
36,40,Super Smash Bros. Brawl,wii,2008,fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,10.18,132747199.99999999
37,41,Call of Duty: Black Ops,ps3,2010,shooter,Activision,5.98,4.44,0.48,1.83,12.73,14.67,186749100.0
38,42,Animal Crossing: Wild World,ds,2005,simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,12.99,159387300.0
39,43,Mario Kart 7,3ds,2011,racing,Nintendo,4.74,3.91,2.67,0.89,12.21,24.34,297191400.00000006
40,44,Halo 3,x360,2007,shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,11.94,144951600.0
41,45,Grand Theft Auto V,ps4,2014,action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,22.21,266075800.00000003
42,46,Pokemon HeartGold/Pokemon SoulSilver,ds,2009,action,Nintendo,4.4,2.77,3.96,0.77,11.9,12.99,154581000.00000003
43,47,Super Mario 64,n64,1996,platform,Nintendo,6.91,2.85,1.91,0.23,11.89,32.69,388684100.0
44,48,Gran Turismo 4,ps2,2004,racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,13.45,156827000.0
45,49,Super Mario Galaxy,wii,2007,platform,Nintendo,6.16,3.4,1.2,0.76,11.52,10.18,117273599.99999999
46,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3ds,2014,role-playing,Nintendo,4.23,3.37,3.08,0.65,11.33,24.34,275772200.0
47,51,Super Mario Land 2: 6 Golden Coins,gb,1992,adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,26.29,293922200.0
48,52,Grand Theft Auto IV,x360,2008,action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,11.94,131578800.0
49,53,Gran Turismo,ps,1997,racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,15.92,174323999.99999997
50,54,Super Mario 3D Land,3ds,2011,platform,Nintendo,4.89,2.99,2.13,0.78,10.79,24.34,262628600.0
51,55,Gran Turismo 5,ps3,2010,racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,14.67,157995900.0
52,56,Call of Duty: Modern Warfare 2,ps3,2009,shooter,Activision,4.99,3.69,0.38,1.63,10.69,14.67,156822299.99999997
53,57,Grand Theft Auto IV,ps3,2008,action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,14.67,155061900.0
54,58,Super Mario All-Stars,snes,1993,platform,Nintendo,5.99,2.15,2.12,0.29,10.55,45.28,477704000.00000006
55,59,Pokemon FireRed/Pokemon LeafGreen,gba,2004,role-playing,Nintendo,4.34,2.65,3.15,0.35,10.49,17.94,188190600.00000003
56,60,Super Mario 64,ds,2004,platform,Nintendo,5.08,3.11,1.25,0.98,10.42,12.99,135355800.0
57,62,Call of Duty: Ghosts,x360,2013,shooter,Activision,6.72,2.63,0.04,0.82,10.21,11.94,121907400.00000001
58,63,Halo: Reach,x360,2010,shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,11.94,117967200.0
59,64,Mario Kart 64,n64,1996,racing,Nintendo,5.55,1.94,2.23,0.15,9.87,32.69,322650299.99999994
60,65,New Super Mario Bros. 2,3ds,2012,platform,Nintendo,3.66,3.07,2.47,0.63,9.82,24.34,239018800.0
61,66,Halo 4,x360,2012,shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,11.94,116534399.99999999
62,67,Final Fantasy VII,ps,1997,role-playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,15.92,154742400.0
63,68,Call of Duty: Ghosts,ps3,2013,shooter,Activision,4.09,3.73,0.38,1.38,9.59,14.67,140685299.99999997
64,70,Gran Turismo 2,ps,1999,racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,15.92,151080800.0
65,71,Call of Duty 4: Modern Warfare,x360,2007,shooter,Activision,5.91,2.38,0.13,0.9,9.32,11.94,111280800.0
66,72,Donkey Kong Country,snes,1994,platform,Nintendo,4.36,1.71,3.0,0.23,9.3,45.28,421104000.00000006
67,74,Animal Crossing: New Leaf,3ds,2012,simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,24.34,221250600.0
68,76,The Elder Scrolls V: Skyrim,x360,2011,role-playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,11.94,105549600.0
69,77,Super Mario Kart,snes,1992,racing,Nintendo,3.54,1.24,3.81,0.18,8.76,45.28,396652800.0
70,78,FIFA 16,ps4,2015,sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,22.21,188562900.0
71,80,Halo 2,xb,2004,shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,9.99,84815100.0
72,82,Pokemon Black 2/Pokemon White 2,ds,2012,role-playing,Nintendo,2.91,1.86,3.14,0.43,8.33,12.99,108206700.0
73,83,FIFA Soccer 13,ps3,2012,action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,14.67,120880800.00000001
74,84,The Sims 3,pc,2009,simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,13.28,107700799.99999999
75,85,GoldenEye 007,n64,1997,shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,32.69,264462099.99999997
76,86,Mario & Sonic at the Olympic Games,wii,2007,sports,Sega,2.58,3.9,0.66,0.91,8.06,10.18,82050800.00000001
77,87,Final Fantasy X,ps2,2001,role-playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,13.45,108272500.00000001
78,88,Final Fantasy VIII,ps,1999,role-playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,15.92,125131200.0
79,89,Pokémon Platinum Version,ds,2008,role-playing,Nintendo,2.82,1.78,2.69,0.55,7.84,12.99,101841600.0
80,90,Pac-Man,2600,1982,puzzle,Atari,7.28,0.45,0.0,0.08,7.81,34.46,269132599.99999994
81,91,Grand Theft Auto: Liberty City Stories,psp,2005,action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,16.18,124909600.0
82,92,Super Mario Galaxy 2,wii,2010,platform,Nintendo,3.66,2.42,0.98,0.64,7.69,10.18,78284200.0
83,93,Star Wars Battlefront (2015),ps4,2015,shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,22.21,170350700.00000003
84,94,Call of Duty: Advanced Warfare,ps4,2014,shooter,Activision,2.8,3.3,0.14,1.37,7.6,22.21,168796000.0
85,95,The Legend of Zelda: Ocarina of Time,n64,1998,action,Nintendo,4.1,1.89,1.45,0.16,7.6,32.69,248443999.99999997
86,96,Crash Bandicoot 2: Cortex Strikes Back,ps,1997,platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,15.92,120673600.00000001
87,97,Super Mario Bros. 2,nes,1988,platform,Nintendo,5.39,1.18,0.7,0.19,7.46,41.56,310037600.0
88,98,Super Smash Bros. for Wii U and 3DS,3ds,2014,fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,24.34,181333000.0
89,99,Call of Duty: World at War,x360,2008,shooter,Activision,4.79,1.9,0.0,0.69,7.37,11.94,87997800.0
90,100,Battlefield 3,x360,2011,shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,11.94,87639600.0
91,101,The Legend of Zelda: Twilight Princess,wii,2006,action,Nintendo,3.83,2.19,0.6,0.7,7.31,10.18,74415799.99999999
92,102,Call of Duty: Black Ops 3,xone,2015,shooter,Activision,4.52,2.09,0.01,0.67,7.3,12.68,92564000.0
93,104,Battlefield 3,ps3,2011,shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,14.67,106064100.00000001
94,105,Need for Speed Underground,ps2,2003,racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,13.45,96840000.0
95,106,Tekken 3,ps,1998,fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,15.92,113987200.0
96,107,Crash Bandicoot 3: Warped,ps,1998,platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,15.92,113509599.99999999
97,108,Super Smash Bros. Melee,gc,2001,fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,33.64,237834800.0
98,109,Mario Kart 8,wiiu,2014,racing,Nintendo,3.13,2.07,1.27,0.49,6.96,19.59,136346400.0
99,110,Fallout 4,ps4,2015,role-playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,22.21,154581600.0
100,111,Mario Kart: Double Dash!!,gc,2003,racing,Nintendo,4.12,1.77,0.87,0.19,6.95,33.64,233798000.0
101,113,FIFA 14,ps3,2013,sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,14.67,101223000.0
102,114,Need for Speed Underground 2,ps2,2004,racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,13.45,92805000.0
103,115,Medal of Honor: Frontline,ps2,2002,shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,13.45,91863500.0
104,116,Uncharted 3: Drake's Deception,ps3,2011,action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,14.67,100196100.0
105,117,Crash Bandicoot,ps,1996,platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,15.92,108574400.0
106,118,Zumba Fitness,wii,2010,sports,505 Games,3.5,2.64,0.0,0.67,6.81,10.18,69325800.0
107,119,Gears of War 2,x360,2008,shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,11.94,80714400.0
108,120,Uncharted 2: Among Thieves,ps3,2009,action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,14.67,98729100.0
109,121,Call of Duty 4: Modern Warfare,ps3,2007,shooter,Activision,3.1,2.3,0.28,1.04,6.72,14.67,98582400.0
110,122,FIFA 12,ps3,2011,sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,14.67,98142300.0
111,124,Red Dead Redemption,ps3,2010,action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,14.67,96821999.99999999
112,125,FIFA 15,ps4,2014,sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,22.21,146363900.0
113,126,Donkey Kong Country Returns,wii,2010,platform,Nintendo,3.25,1.84,1.03,0.47,6.59,10.18,67086199.99999999
114,127,The Elder Scrolls V: Skyrim,ps3,2011,role-playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,14.67,96235199.99999999
115,128,The Legend of Zelda,nes,1986,action,Nintendo,3.74,0.93,1.69,0.14,6.51,41.56,270555600.0
116,129,Assassin's Creed III,ps3,2012,action,Ubisoft,2.64,2.56,0.16,1.14,6.5,14.67,95355000.0
117,130,Halo: Combat Evolved,xb,2001,shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,9.99,64235699.99999999
118,131,Pokémon Emerald Version,gba,2004,role-playing,Nintendo,2.57,1.58,2.06,0.21,6.41,17.94,114995400.00000001
119,132,Kingdom Hearts,ps2,2002,role-playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,13.45,86080000.0
120,133,Pokémon Crystal Version,gb,2000,role-playing,Nintendo,2.55,1.56,1.29,0.99,6.39,26.29,167993100.0
121,134,Halo 3: ODST,x360,2009,shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,11.94,75938400.0
122,135,Red Dead Redemption,x360,2010,action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,11.94,75699599.99999999
123,136,Super Mario Sunshine,gc,2002,platform,Nintendo,4.01,1.26,0.87,0.17,6.31,33.64,212268400.0
124,137,Street Fighter II: The World Warrior,snes,1992,fighting,Capcom,2.47,0.83,2.87,0.12,6.3,45.28,285264000.0
125,138,World of Warcraft,pc,2004,role-playing,Activision,0.07,6.21,0.0,0.0,6.28,13.28,83398400.0
126,139,Driver,ps,1999,action,GT Interactive,3.11,2.8,0.02,0.33,6.27,15.92,99818400.0
127,140,Kinect Sports,x360,2010,sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,11.94,74505600.0
128,141,Gears of War 3,x360,2011,shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,11.94,74505600.0
129,142,Gears of War,x360,2006,shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,11.94,72953400.0
130,143,Metal Gear Solid 2: Sons of Liberty,ps2,2001,action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,13.45,81372499.99999999
131,144,Sonic the Hedgehog 2,gen,1992,platform,Sega,4.47,1.2,0.16,0.19,6.03,18.96,114328800.00000001
132,145,Metal Gear Solid 4: Guns of the Patriots,ps3,2008,action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,14.67,88460100.0
133,146,Metal Gear Solid,ps,1998,action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,15.92,95997600.0
134,147,The Last of Us,ps3,2013,action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,14.67,87873300.0
135,148,Final Fantasy XII,ps2,2006,role-playing,Square Enix,1.88,0.0,2.33,1.74,5.95,13.45,80027500.0
136,149,LittleBigPlanet,ps3,2008,platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,14.67,86846400.0
137,150,Dragon Quest IX: Sentinels of the Starry Skies,ds,2009,role-playing,Nintendo,0.66,0.69,4.35,0.15,5.84,12.99,75861600.0
138,151,LEGO Star Wars: The Complete Saga,wii,2007,action,LucasArts,3.66,1.63,0.0,0.53,5.83,10.18,59349399.99999999
139,152,Resident Evil 2,ps,1998,action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,15.92,92654400.00000001
140,153,Tekken 2,ps,1996,fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,15.92,91380800.00000001
141,154,Cooking Mama,ds,2006,simulation,505 Games,3.13,1.94,0.07,0.58,5.72,12.99,74302800.0
142,155,Destiny,ps4,2014,shooter,Activision,2.49,2.05,0.16,0.96,5.65,22.21,125486500.0
143,156,Tetris,nes,1988,puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,41.56,231904800.00000003
144,157,Assassin's Creed II,ps3,2009,action,Ubisoft,2.54,1.95,0.21,0.87,5.57,14.67,81711900.0
145,158,Super Smash Bros.,n64,1999,fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,32.69,181429500.0
146,159,Assassin's Creed,x360,2007,adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,11.94,66266999.99999999
147,160,Batman: Arkham City,ps3,2011,action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,14.67,81125100.0
148,161,Forza Motorsport 3,x360,2009,racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,11.94,65789400.0
149,162,Monster Hunter Freedom Unite,psp,2008,role-playing,Capcom,0.47,0.57,4.13,0.34,5.5,16.18,88990000.0
150,163,Super Mario Advance,gba,2001,platform,Nintendo,3.14,1.24,0.91,0.2,5.49,17.94,98490600.00000001
151,164,Mario Kart: Super Circuit,gba,2001,racing,Nintendo,2.62,1.64,0.99,0.23,5.47,17.94,98131800.0
152,165,Super Mario World,gba,2001,platform,Nintendo,3.21,1.11,0.95,0.2,5.46,17.94,97952400.00000001
153,166,Pokemon Stadium,n64,1999,strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,32.69,178160499.99999997
154,167,Call of Duty: World at War,ps3,2008,shooter,Activision,2.72,1.87,0.0,0.84,5.43,14.67,79658099.99999999
155,168,Crash Bandicoot: The Wrath of Cortex,ps2,2001,platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,13.45,72899000.0
156,170,Final Fantasy XIII,ps3,2009,role-playing,Square Enix,1.74,1.24,1.87,0.52,5.36,14.67,78631200.0
157,171,Dr. Mario,gb,1989,puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,26.29,140388600.0
158,173,Assassin's Creed III,x360,2012,action,Ubisoft,3.13,1.71,0.03,0.44,5.3,11.94,63282000.0
159,174,Final Fantasy IX,ps,2000,role-playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,15.92,84375999.99999999
160,175,Final Fantasy X-2,ps2,2003,role-playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,13.45,71150500.0
161,176,Donkey Kong 64,n64,1999,platform,Nintendo,3.33,0.79,1.09,0.06,5.27,32.69,172276299.99999997
162,177,Assassin's Creed II,x360,2009,action,Ubisoft,3.1,1.56,0.08,0.51,5.27,11.94,62923799.99999999
163,178,Professor Layton and the Curious Village,ds,2007,puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,12.99,68327400.0
164,179,Tomb Raider II,ps,1997,action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,15.92,83420800.0
165,181,Dragon Quest VIII: Journey of the Cursed King,ps2,2004,role-playing,Square Enix,0.65,0.75,3.61,0.2,5.21,13.45,70074500.0
166,182,Diablo III,pc,2012,role-playing,Activision,2.43,2.15,0.0,0.62,5.2,13.28,69056000.0
167,183,Super Mario Bros. 3,gba,2003,platform,Nintendo,2.93,1.25,0.83,0.2,5.2,17.94,93288000.00000001
168,184,New Super Mario Bros. U,wiiu,2012,platform,Nintendo,2.32,1.3,1.27,0.31,5.19,19.59,101672100.0
169,185,Super Mario Land 3: Wario Land,gb,1994,platform,Nintendo,2.49,0.98,1.57,0.15,5.19,26.29,136445100.0
170,186,FIFA Soccer 13,x360,2012,action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,11.94,61849199.99999999
171,187,The Legend of Zelda: Phantom Hourglass,ds,2007,action,Nintendo,1.9,1.83,0.95,0.49,5.17,12.99,67158300.0
172,188,Donkey Kong Country 2: Diddy's Kong Quest,snes,1995,platform,Nintendo,2.1,0.74,2.2,0.11,5.15,45.28,233192000.00000003
173,189,Tomodachi Life,3ds,2013,simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,24.34,125351000.00000001
174,190,Mario & Sonic at the Olympic Games,ds,2008,sports,Sega,1.64,2.48,0.44,0.58,5.14,12.99,66768599.99999999
175,191,Medal of Honor: Rising Sun,ps2,2003,shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,13.45,68998500.0
176,192,Kirby's Dream Land,gb,1992,platform,Nintendo,2.71,0.61,1.7,0.11,5.13,26.29,134867699.99999997
177,193,Fable III,x360,2010,role-playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,11.94,61252199.99999999
178,194,Call of Duty: Advanced Warfare,xone,2014,shooter,Activision,3.21,1.53,0.01,0.38,5.13,12.68,65048400.0
179,195,Microsoft Flight Simulator,pc,1996,simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,13.28,67993600.0
180,197,Resident Evil 5,ps3,2009,action,Capcom,1.96,1.43,1.08,0.65,5.11,14.67,74963700.0
181,198,Grand Theft Auto V,xone,2014,action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,12.68,64414400.0
182,199,Grand Theft Auto: Vice City Stories,psp,2006,action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,16.18,82194400.0
183,200,FIFA Soccer 11,ps3,2010,sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,14.67,74523600.0
184,201,Super Mario Bros.,gb,1999,platform,Nintendo,3.4,1.3,0.15,0.22,5.07,26.29,133290300.0
185,202,Resident Evil,ps,1996,action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,15.92,80396000.0
186,203,Tony Hawk's Pro Skater,ps,1999,sports,Activision,3.42,1.38,0.02,0.2,5.02,15.92,79918399.99999999
187,204,Super Smash Bros. for Wii U and 3DS,wiiu,2014,fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,19.59,98341799.99999999
188,205,Warzone 2100,ps,1999,strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,15.92,79759200.0
189,206,Spyro the Dragon,ps,1998,platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,15.92,79600000.0
190,207,Link's Crossbow Training,wii,2007,shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,10.18,50900000.0
191,209,Fallout 3,x360,2008,role-playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,11.94,59222400.0
192,210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,ds,2007,role-playing,Nintendo,1.85,1.2,1.54,0.37,4.96,12.99,64430400.00000001
193,211,Uncharted: Drake's Fortune,ps3,2007,action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,14.67,72469800.0
194,212,Madden NFL 06,ps2,2005,sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,13.45,66039500.00000001
195,213,LEGO Star Wars: The Complete Saga,ds,2007,action,LucasArts,2.89,1.54,0.0,0.46,4.9,12.99,63651000.0
196,214,Diddy Kong Racing,n64,1997,racing,Nintendo,2.91,0.99,0.89,0.1,4.88,32.69,159527200.0
197,215,Monster Hunter Freedom 3,psp,2010,role-playing,Capcom,0.0,0.0,4.87,0.0,4.87,16.18,78796600.0
198,216,Dr. Mario,nes,1990,puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,41.56,201566000.0
199,217,God of War III,ps3,2010,action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,14.67,71002800.0
200,218,StarCraft II: Wings of Liberty,pc,2010,strategy,Activision,2.56,1.68,0.0,0.59,4.83,13.28,64142399.99999999
201,219,Assassin's Creed,ps3,2007,adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83,14.67,70856100.0
202,220,FIFA 15,ps3,2014,sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,14.67,70709400.0
203,221,Crash Team Racing,ps,1999,racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,15.92,76256800.0
204,222,FIFA 17,ps4,2016,sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77,22.21,105941700.0
205,223,Batman: Arkham City,x360,2011,action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,11.94,56834399.99999999
206,224,Driver 2,ps,2000,action,Atari,2.36,2.1,0.02,0.25,4.73,15.92,75301600.00000001
207,225,The Simpsons: Hit & Run,ps2,2003,racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,13.45,63215000.0
208,226,Tony Hawk's Pro Skater 2,ps,2000,sports,Activision,3.05,1.41,0.02,0.2,4.68,15.92,74505600.0
209,227,Animal Crossing: City Folk,wii,2008,simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,10.18,47642399.99999999
210,228,The Lord of the Rings: The Two Towers,ps2,2002,action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,13.45,62811499.99999999
211,229,Forza Motorsport 4,x360,2011,racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,11.94,55401599.99999999
212,230,Tomb Raider,ps,1996,action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,15.92,73709600.0
213,232,The Legend of Zelda: A Link to the Past,snes,1991,action,Nintendo,2.42,0.91,1.15,0.13,4.61,45.28,208740800.0
214,233,The Legend of Zelda: The Wind Waker,gc,2002,action,Nintendo,2.6,0.99,0.89,0.13,4.6,33.64,154744000.0
215,234,Mario & Sonic at the Olympic Winter Games,wii,2009,sports,Sega,1.89,1.99,0.22,0.48,4.58,10.18,46624400.0
